"サービス","想定エリア","法人名","優先度","適合根拠","公式URL","窓口メール","電話番号","打診方法","即時打診可否","既存打診状況","送信前確認","根拠"
"受水槽清掃","神奈川県横浜市西区（過去案件）","株式会社浄化槽管理センター","B","神奈川県貯水槽清掃業登録","","","0463-32-8853","電話（メール/フォーム案内を取得）","可","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","神奈川県 建築物飲料水貯水槽清掃業登録名簿・公式サイト"
"受水槽清掃","神奈川県横浜市西区（過去案件）","扶桑工業株式会社","B","神奈川県貯水槽清掃業登録","","","0463-32-3200","電話（メール/フォーム案内を取得）","可","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","神奈川県 建築物飲料水貯水槽清掃業登録名簿・公式サイト"
"受水槽清掃","神奈川県横浜市西区（過去案件）","株式会社東幸","B","神奈川県貯水槽清掃業登録","","","0466-23-0325","電話（メール/フォーム案内を取得）","可","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","神奈川県 建築物飲料水貯水槽清掃業登録名簿・公式サイト"
"受水槽清掃","神奈川県横浜市西区（過去案件）","株式会社アサヒエンジニアリング","B","神奈川県貯水槽清掃業登録","","","0463-58-8989","電話（メール/フォーム案内を取得）","可","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","神奈川県 建築物飲料水貯水槽清掃業登録名簿・公式サイト"
"受水槽清掃","神奈川県横浜市西区（過去案件）","株式会社ニッテク","B","神奈川県貯水槽清掃業登録","","","0465-36-1761","電話（メール/フォーム案内を取得）","可","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","神奈川県 建築物飲料水貯水槽清掃業登録名簿・公式サイト"
"受水槽清掃","神奈川県横浜市西区（過去案件）","有限会社加藤設備","B","神奈川県貯水槽清掃業登録","","","0465-37-2361","電話（メール/フォーム案内を取得）","可","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","神奈川県 建築物飲料水貯水槽清掃業登録名簿・公式サイト"
"受水槽清掃","神奈川県横浜市西区（過去案件）","フロンティア１株式会社","B","神奈川県貯水槽清掃業登録","","","0465-35-2038","電話（メール/フォーム案内を取得）","可","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","神奈川県 建築物飲料水貯水槽清掃業登録名簿・公式サイト"
"受水槽清掃","神奈川県横浜市西区（過去案件）","相和設備工業株式会社","B","神奈川県貯水槽清掃業登録","","","0466-25-2252","電話（メール/フォーム案内を取得）","可","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","神奈川県 建築物飲料水貯水槽清掃業登録名簿・公式サイト"
"受水槽清掃","神奈川県横浜市西区（過去案件）","株式会社朝日美装","B","神奈川県貯水槽清掃業登録","","","046-222-2555","電話（メール/フォーム案内を取得）","可","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","神奈川県 建築物飲料水貯水槽清掃業登録名簿・公式サイト"
"受水槽清掃","神奈川県横浜市西区（過去案件）","株式会社郵生","B","神奈川県貯水槽清掃業登録","","","0463-33-3108","電話（メール/フォーム案内を取得）","可","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","神奈川県 建築物飲料水貯水槽清掃業登録名簿・公式サイト"
"受水槽清掃","神奈川県横浜市西区（過去案件）","株式会社ソウマ","B","神奈川県貯水槽清掃業登録","","","0467-54-6414","電話（メール/フォーム案内を取得）","可","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","神奈川県 建築物飲料水貯水槽清掃業登録名簿・公式サイト"
"受水槽清掃","神奈川県横浜市西区（過去案件）","株式会社ライフライン岩崎","B","神奈川県貯水槽清掃業登録","","","046-823-0943","電話（メール/フォーム案内を取得）","可","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","神奈川県 建築物飲料水貯水槽清掃業登録名簿・公式サイト"
"受水槽清掃","神奈川県横浜市西区（過去案件）","株式会社湘南汚水研究所","B","神奈川県貯水槽清掃業登録","","","0467-86-3581","電話（メール/フォーム案内を取得）","可","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","神奈川県 建築物飲料水貯水槽清掃業登録名簿・公式サイト"
"太陽光パネル清掃","兵庫県佐用町（過去案件）","竹内産業株式会社","S","太陽光発電所のO&M、パネル洗浄または除草・敷地管理に対応","","","","公式フォーム","要確認","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サービスページ・過去打診履歴"
"太陽光パネル清掃","兵庫県佐用町（過去案件）","株式会社ライン","S","太陽光発電所のO&M、パネル洗浄または除草・敷地管理に対応","https://line55.jp/kankyo/weeding/","","","公式フォーム","可","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サービスページ・過去打診履歴"
"太陽光パネル清掃","兵庫県佐用町（過去案件）","株式会社ライフメンテナンス","A","太陽光発電所のO&M、パネル洗浄または除草・敷地管理に対応","","","","公式フォーム","要確認","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サービスページ・過去打診履歴"
"太陽光パネル清掃","兵庫県佐用町（過去案件）","株式会社トータルメンテナンス","A","太陽光発電所のO&M、パネル洗浄または除草・敷地管理に対応","","info@t-maintenance.com","","メール","可","既存打診履歴あり：回答待ち","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サービスページ・過去打診履歴"
"太陽光パネル清掃","兵庫県佐用町（過去案件）","パワーエンジニアリング株式会社","A","太陽光発電所のO&M、パネル洗浄または除草・敷地管理に対応","","","","公式フォーム","要確認","既存打診履歴あり：見送り","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サービスページ・過去打診履歴"
"太陽光パネル清掃","兵庫県佐用町（過去案件）","丸瀬産業株式会社","S","太陽光発電所のO&M、パネル洗浄または除草・敷地管理に対応","https://maruse-i.com/service/","","","公式フォーム","可","既存打診履歴あり：送信保留","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サービスページ・過去打診履歴"
"太陽光パネル清掃","兵庫県佐用町（過去案件）","横田美装株式会社","A","太陽光発電所のO&M、パネル洗浄または除草・敷地管理に対応","","","","公式フォーム","要確認","既存打診履歴あり：送信保留","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サービスページ・過去打診履歴"
"太陽光パネル清掃","兵庫県佐用町（過去案件）","株式会社F.C.S","S","太陽光発電所のO&M、パネル洗浄または除草・敷地管理に対応","","","","公式フォーム","要確認","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サービスページ・過去打診履歴"
"太陽光パネル清掃","兵庫県佐用町（過去案件）","株式会社エス・ワイプランニング","S","太陽光発電所のO&M、パネル洗浄または除草・敷地管理に対応","","","","公式フォーム","要確認","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サービスページ・過去打診履歴"
"太陽光パネル清掃","兵庫県佐用町（過去案件）","株式会社エネルフト","A","太陽光発電所のO&M、パネル洗浄または除草・敷地管理に対応","","","","公式フォーム","要確認","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サービスページ・過去打診履歴"
"太陽光パネル清掃","兵庫県佐用町（過去案件）","株式会社イトデンエンジニアリング","S","太陽光発電所のO&M、パネル洗浄または除草・敷地管理に対応","","","","公式フォーム","要確認","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サービスページ・過去打診履歴"
"太陽光パネル清掃","兵庫県佐用町（過去案件）","株式会社LC-JAPAN","A","太陽光発電所のO&M、パネル洗浄または除草・敷地管理に対応","","","","公式フォーム","要確認","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サービスページ・過去打診履歴"
"太陽光パネル清掃","兵庫県佐用町（過去案件）","ニシリク株式会社","A","太陽光発電所のO&M、パネル洗浄または除草・敷地管理に対応","","","","公式フォーム","要確認","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サービスページ・過去打診履歴"
"太陽光パネル清掃","兵庫県佐用町（過去案件）","株式会社パワーガード","A","太陽光発電所のO&M、パネル洗浄または除草・敷地管理に対応","","","","公式フォーム","要確認","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サービスページ・過去打診履歴"
"太陽光パネル清掃","兵庫県佐用町（過去案件）","株式会社みつば電気","S","太陽光発電所のO&M、パネル洗浄または除草・敷地管理に対応","","","","公式フォーム","要確認","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サービスページ・過去打診履歴"
"太陽光パネル清掃","兵庫県佐用町（過去案件）","株式会社りょうしんメンテナンスサービス","A","太陽光発電所のO&M、パネル洗浄または除草・敷地管理に対応","","","","公式フォーム","要確認","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サービスページ・過去打診履歴"
"太陽光パネル清掃","兵庫県佐用町（過去案件）","ソーラーフロンティア株式会社","A","太陽光発電所のO&M、パネル洗浄または除草・敷地管理に対応","","","","公式フォーム","要確認","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サービスページ・過去打診履歴"
"太陽光パネル清掃","兵庫県佐用町（過去案件）","日本コンベヤ株式会社","A","太陽光発電所のO&M、パネル洗浄または除草・敷地管理に対応","https://www.conveyor.co.jp/business/solar.html","","","公式フォーム","可","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サービスページ・過去打診履歴"
"太陽光パネル清掃","兵庫県佐用町（過去案件）","株式会社PV Japan","A","太陽光発電所のO&M、パネル洗浄または除草・敷地管理に対応","","","","公式フォーム","要確認","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サービスページ・過去打診履歴"
"太陽光パネル清掃","兵庫県佐用町（過去案件）","株式会社NEOSTAR","A","太陽光発電所のO&M、パネル洗浄または除草・敷地管理に対応","","","","公式フォーム","要確認","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サービスページ・過去打診履歴"
"太陽光パネル清掃","兵庫県佐用町（過去案件）","株式会社イーロックホーム","A","太陽光発電所のO&M、パネル洗浄または除草・敷地管理に対応","","","","公式フォーム","要確認","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サービスページ・過去打診履歴"
"太陽光パネル清掃","兵庫県佐用町（過去案件）","南開工業株式会社","A","太陽光発電所のO&M、パネル洗浄または除草・敷地管理に対応","","","","公式フォーム","要確認","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サービスページ・過去打診履歴"
"太陽光パネル清掃","兵庫県佐用町（過去案件）","株式会社日建","A","太陽光発電所のO&M、パネル洗浄または除草・敷地管理に対応","https://www.nik-ken.jp/product/om","","","公式フォーム","可","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サービスページ・過去打診履歴"
"太陽光パネル清掃","兵庫県佐用町（過去案件）","京セラコミュニケーションシステム株式会社","A","太陽光発電所のO&M、パネル洗浄または除草・敷地管理に対応","","","","公式フォーム","要確認","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サービスページ・過去打診履歴"
"太陽光パネル清掃","兵庫県佐用町（過去案件）","株式会社エスコ","A","太陽光発電所のO&M、パネル洗浄または除草・敷地管理に対応","https://www.esco-co.jp/service/solarsystem/maintenance/","","","公式フォーム","可","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サービスページ・過去打診履歴"
"太陽光パネル清掃","兵庫県佐用町（過去案件）","GC POWER株式会社","A","太陽光発電所のO&M、パネル洗浄または除草・敷地管理に対応","","","","公式フォーム","要確認","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サービスページ・過去打診履歴"
"太陽光パネル清掃","兵庫県佐用町（過去案件）","株式会社Landclean","A","太陽光発電所のO&M、パネル洗浄または除草・敷地管理に対応","","","","公式フォーム","要確認","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サービスページ・過去打診履歴"
"太陽光パネル清掃","兵庫県佐用町（過去案件）","株式会社RISEUP","A","太陽光発電所のO&M、パネル洗浄または除草・敷地管理に対応","","","","公式フォーム","要確認","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サービスページ・過去打診履歴"
"太陽光パネル清掃","兵庫県佐用町（過去案件）","株式会社VICTORY","A","太陽光発電所のO&M、パネル洗浄または除草・敷地管理に対応","","","","公式フォーム","要確認","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サービスページ・過去打診履歴"
"太陽光パネル清掃","兵庫県佐用町（過去案件）","株式会社GreenWork","A","太陽光発電所のO&M、パネル洗浄または除草・敷地管理に対応","","","","公式フォーム","要確認","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サービスページ・過去打診履歴"
"太陽光パネル清掃","兵庫県佐用町（過去案件）","株式会社エネファス","A","太陽光発電所のO&M、パネル洗浄または除草・敷地管理に対応","","","","公式フォーム","要確認","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サービスページ・過去打診履歴"
"太陽光パネル清掃","兵庫県佐用町（過去案件）","株式会社ミライト・テクノロジーズ","A","太陽光発電所のO&M、パネル洗浄または除草・敷地管理に対応","","","","公式フォーム","要確認","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サービスページ・過去打診履歴"
"太陽光パネル清掃","兵庫県佐用町（過去案件）","テクノケア株式会社","A","太陽光発電所のO&M、パネル洗浄または除草・敷地管理に対応","","info@techno-care.jp","","メール","可","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サービスページ・過去打診履歴"
"太陽光パネル清掃","兵庫県佐用町（過去案件）","オリックス・リニューアブルエナジー・マネジメント株式会社","A","太陽光発電所のO&M、パネル洗浄または除草・敷地管理に対応","","","","公式フォーム","要確認","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サービスページ・過去打診履歴"
"太陽光パネル清掃","兵庫県佐用町（過去案件）","SUNTECH POWER JAPAN株式会社","A","太陽光発電所のO&M、パネル洗浄または除草・敷地管理に対応","","","","公式フォーム","要確認","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サービスページ・過去打診履歴"
"太陽光パネル清掃","兵庫県佐用町（過去案件）","株式会社ソーラーオム","A","太陽光発電所のO&M、パネル洗浄または除草・敷地管理に対応","","","","公式フォーム","要確認","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サービスページ・過去打診履歴"
"太陽光パネル清掃","兵庫県佐用町（過去案件）","竹内マネージメント株式会社","S","太陽光発電所のO&M、パネル洗浄または除草・敷地管理に対応","https://www.takeuchi-grp.co.jp/solar_om/low.html","solar-maintenance-hyogo@takeuchi-grp.co.jp","","メール","可","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サービスページ・過去打診履歴"
"太陽光パネル清掃","兵庫県佐用町（過去案件）","合同会社sumrise","A","太陽光発電所のO&M、パネル洗浄または除草・敷地管理に対応","https://sumrise-llc.co.jp/","","","公式フォーム","可","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サービスページ・過去打診履歴"
"太陽光パネル清掃","兵庫県佐用町（過去案件）","株式会社ＳＡＮコンサルティング","A","太陽光発電所のO&M、パネル洗浄または除草・敷地管理に対応","https://sansolar.wixsite.com/oandm","","","公式フォーム","可","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サービスページ・過去打診履歴"
"太陽光パネル清掃","兵庫県佐用町（過去案件）","BLUERAY株式会社","A","太陽光発電所のO&M、パネル洗浄または除草・敷地管理に対応","https://blueray.co.jp/nightsafe","","","公式フォーム","可","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サービスページ・過去打診履歴"
"太陽光パネル清掃","兵庫県佐用町（過去案件）","相和電気工業株式会社","S","太陽光発電所のO&M、パネル洗浄または除草・敷地管理に対応","https://aiwa-denki.co.jp/solar-maintenance/","","","公式フォーム","可","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サービスページ・過去打診履歴"
"太陽光パネル清掃","兵庫県佐用町（過去案件）","GCPホールディングス株式会社","A","太陽光発電所のO&M、パネル洗浄または除草・敷地管理に対応","https://www.gcp-hd.co.jp/maintenanceservices/","","","公式フォーム","可","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サービスページ・過去打診履歴"
"太陽光パネル清掃","兵庫県佐用町（過去案件）","綜合サービス株式会社","A","太陽光発電所のO&M、パネル洗浄または除草・敷地管理に対応","","","","公式フォーム","要確認","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サービスページ・過去打診履歴"
"太陽光パネル清掃","兵庫県佐用町（過去案件）","株式会社グリーンエナジー・ファシリティーズ","A","太陽光発電所のO&M、パネル洗浄または除草・敷地管理に対応","https://green-energy.co.jp/","","","公式フォーム","可","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サービスページ・過去打診履歴"
"太陽光パネル清掃","兵庫県佐用町（過去案件）","ダイナミックソーラ株式会社","A","太陽光発電所のO&M、パネル洗浄または除草・敷地管理に対応","https://dynamic-solar.co.jp/","","","公式フォーム","可","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サービスページ・過去打診履歴"
"太陽光パネル清掃","兵庫県佐用町（過去案件）","関西電機工業株式会社","A","太陽光発電所のO&M、パネル洗浄または除草・敷地管理に対応","","","","公式フォーム","要確認","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サービスページ・過去打診履歴"
"太陽光パネル清掃","兵庫県佐用町（過去案件）","株式会社ソーラーケア","A","太陽光発電所のO&M、パネル洗浄または除草・敷地管理に対応","","","","公式フォーム","要確認","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サービスページ・過去打診履歴"
"太陽光パネル清掃","兵庫県佐用町（過去案件）","株式会社エネテク","A","太陽光発電所のO&M、パネル洗浄または除草・敷地管理に対応","","","","公式フォーム","要確認","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サービスページ・過去打診履歴"
"太陽光パネル清掃","兵庫県佐用町（過去案件）","株式会社novis","A","太陽光発電所のO&M、パネル洗浄または除草・敷地管理に対応","","","","公式フォーム","要確認","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サービスページ・過去打診履歴"
"太陽光パネル清掃","兵庫県佐用町（過去案件）","株式会社グッドフェローズ","A","太陽光発電所のO&M、パネル洗浄または除草・敷地管理に対応","","","","公式フォーム","要確認","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","公式サービスページ・過去打診履歴"
"自家用電気工作物点検(キュービクル)","東京都江戸川区（過去案件）","株式会社青木電気設計事務所","S","高圧受変電設備の月次・年次点検、保安管理業務外部委託に対応","","","","公式フォーム","要確認","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","関東東北産業保安監督部 電気保安法人一覧・公式サイト"
"自家用電気工作物点検(キュービクル)","東京都江戸川区（過去案件）","株式会社TKテクノサービス","S","高圧受変電設備の月次・年次点検、保安管理業務外部委託に対応","","","","公式フォーム","要確認","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","関東東北産業保安監督部 電気保安法人一覧・公式サイト"
"自家用電気工作物点検(キュービクル)","東京都江戸川区（過去案件）","NDK総合サービス株式会社","S","高圧受変電設備の月次・年次点検、保安管理業務外部委託に対応","","","","公式フォーム","要確認","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","関東東北産業保安監督部 電気保安法人一覧・公式サイト"
"自家用電気工作物点検(キュービクル)","東京都江戸川区（過去案件）","株式会社東京電気検査協会","S","高圧受変電設備の月次・年次点検、保安管理業務外部委託に対応","","","","公式フォーム","要確認","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","関東東北産業保安監督部 電気保安法人一覧・公式サイト"
"自家用電気工作物点検(キュービクル)","東京都江戸川区（過去案件）","太平ビルサービス株式会社","S","高圧受変電設備の月次・年次点検、保安管理業務外部委託に対応","","","","公式フォーム","要確認","既存打診履歴あり：回答待ち","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","関東東北産業保安監督部 電気保安法人一覧・公式サイト"
"自家用電気工作物点検(キュービクル)","東京都江戸川区（過去案件）","株式会社エネサーブ神奈川","S","高圧受変電設備の月次・年次点検、保安管理業務外部委託に対応","","","","公式フォーム","要確認","既存打診履歴あり：送信保留","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","関東東北産業保安監督部 電気保安法人一覧・公式サイト"
"自家用電気工作物点検(キュービクル)","東京都江戸川区（過去案件）","株式会社関東電気サービス","A","高圧受変電設備の月次・年次点検、保安管理業務外部委託に対応","","","","公式フォーム","要確認","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","関東東北産業保安監督部 電気保安法人一覧・公式サイト"
"自家用電気工作物点検(キュービクル)","東京都江戸川区（過去案件）","株式会社エレックス極東","A","高圧受変電設備の月次・年次点検、保安管理業務外部委託に対応","","info@kyokuto.co.jp","","メール","可","既存打診履歴あり：回答待ち","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","関東東北産業保安監督部 電気保安法人一覧・公式サイト"
"自家用電気工作物点検(キュービクル)","東京都江戸川区（過去案件）","株式会社八興","A","高圧受変電設備の月次・年次点検、保安管理業務外部委託に対応","","","","公式フォーム","要確認","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","関東東北産業保安監督部 電気保安法人一覧・公式サイト"
"自家用電気工作物点検(キュービクル)","東京都江戸川区（過去案件）","武蔵野電気管理株式会社","S","高圧受変電設備の月次・年次点検、保安管理業務外部委託に対応","https://e-musashino.com/","","","公式フォーム","可","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","関東東北産業保安監督部 電気保安法人一覧・公式サイト"
"自家用電気工作物点検(キュービクル)","東京都江戸川区（過去案件）","株式会社関東エフシーリーズ","A","高圧受変電設備の月次・年次点検、保安管理業務外部委託に対応","","","","公式フォーム","要確認","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","関東東北産業保安監督部 電気保安法人一覧・公式サイト"
"自家用電気工作物点検(キュービクル)","東京都江戸川区（過去案件）","株式会社ビルセット","A","高圧受変電設備の月次・年次点検、保安管理業務外部委託に対応","","","","公式フォーム","要確認","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","関東東北産業保安監督部 電気保安法人一覧・公式サイト"
"自家用電気工作物点検(キュービクル)","東京都江戸川区（過去案件）","株式会社千葉県電気保守協会","A","高圧受変電設備の月次・年次点検、保安管理業務外部委託に対応","","","","公式フォーム","要確認","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","関東東北産業保安監督部 電気保安法人一覧・公式サイト"
"自家用電気工作物点検(キュービクル)","東京都江戸川区（過去案件）","有限会社ケーワイエンジニア","A","高圧受変電設備の月次・年次点検、保安管理業務外部委託に対応","","","","公式フォーム","要確認","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","関東東北産業保安監督部 電気保安法人一覧・公式サイト"
"自家用電気工作物点検(キュービクル)","東京都江戸川区（過去案件）","有限会社エスティエス","A","高圧受変電設備の月次・年次点検、保安管理業務外部委託に対応","","","","公式フォーム","要確認","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","関東東北産業保安監督部 電気保安法人一覧・公式サイト"
"自家用電気工作物点検(キュービクル)","東京都江戸川区（過去案件）","株式会社エス・イー・ティ","A","高圧受変電設備の月次・年次点検、保安管理業務外部委託に対応","","","","公式フォーム","要確認","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","関東東北産業保安監督部 電気保安法人一覧・公式サイト"
"自家用電気工作物点検(キュービクル)","東京都江戸川区（過去案件）","株式会社メジャーシステム","A","高圧受変電設備の月次・年次点検、保安管理業務外部委託に対応","","","","公式フォーム","要確認","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","関東東北産業保安監督部 電気保安法人一覧・公式サイト"
"自家用電気工作物点検(キュービクル)","東京都江戸川区（過去案件）","テクノ・デコール株式会社","A","高圧受変電設備の月次・年次点検、保安管理業務外部委託に対応","","","","公式フォーム","要確認","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","関東東北産業保安監督部 電気保安法人一覧・公式サイト"
"自家用電気工作物点検(キュービクル)","東京都江戸川区（過去案件）","東洋ビルメンテナンス株式会社","A","高圧受変電設備の月次・年次点検、保安管理業務外部委託に対応","","","","公式フォーム","要確認","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","関東東北産業保安監督部 電気保安法人一覧・公式サイト"
"自家用電気工作物点検(キュービクル)","東京都江戸川区（過去案件）","有限会社中村電気管理事務所","A","高圧受変電設備の月次・年次点検、保安管理業務外部委託に対応","","","","公式フォーム","要確認","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","関東東北産業保安監督部 電気保安法人一覧・公式サイト"
"自家用電気工作物点検(キュービクル)","東京都江戸川区（過去案件）","株式会社オルテ","S","高圧受変電設備の月次・年次点検、保安管理業務外部委託に対応","https://www.orte.co.jp/cubicle","","","公式フォーム","可","既存打診履歴あり：送信保留","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","関東東北産業保安監督部 電気保安法人一覧・公式サイト"
"自家用電気工作物点検(キュービクル)","東京都江戸川区（過去案件）","全電協株式会社","S","高圧受変電設備の月次・年次点検、保安管理業務外部委託に対応","https://www.zendenkyo.co.jp/","","","公式フォーム","可","既存打診履歴あり：送信確認中","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","関東東北産業保安監督部 電気保安法人一覧・公式サイト"
"自家用電気工作物点検(キュービクル)","東京都江戸川区（過去案件）","株式会社エスコ","A","高圧受変電設備の月次・年次点検、保安管理業務外部委託に対応","https://www.esco-co.jp/service/cubicle/","","","公式フォーム","可","既存打診履歴あり：要資料","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","関東東北産業保安監督部 電気保安法人一覧・公式サイト"
"自家用電気工作物点検(キュービクル)","東京都江戸川区（過去案件）","日本テクノ株式会社","S","高圧受変電設備の月次・年次点検、保安管理業務外部委託に対応","https://www.cubicle-hoan.jp/","","","公式フォーム","可","未打診","紹介可否・案件対応可否のみを確認。依頼者情報は紹介承諾後に共有。","関東東北産業保安監督部 電気保安法人一覧・公式サイト"
